Registrace,Věk,Id,Evidenční číslo,Jednotka,Typ jednotky,Typ členství,Rok vstupu
2020,12,D2401F9F5FC0207C46FD67574E72E11B,724.06.051-4,Ontario,Oddíl,Řádné,2014
2020,16,438EC826D0FB8BF3D5CBA8A3D021F31A,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,10,9B2A31AD880AB2D457C0A141A82F65AD,724.06.052-7,Antares,Oddíl,Řádné,2014
2020,10,1AFC932AFE1E3059F0142168A16A9BF1,724.06.052-7,Antares,Oddíl,Řádné,2014
2020,25,38A5DE702346C34A0BEED524679C85D9,724.06.052-8,60. Klub kmene dospělých skautů,Oddíl,Řádné,2000
2020,6,1FF4716C4DBFC2B8DE50EE95F54C09A5,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2017
2020,38,B3D820CEE4E9FF914C85FCF66BBE4BEE,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2013
2020,5,B4E6A58D6CAA6721AD93A2F1C187A1F7,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2017
2020,10,BDA90AA65CDDB31735C08C4D4232B912,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2013
2020,40,6D354B0029F6DBD61A78BA5BAB16B2F7,724.06.051-2,Slůňata,Oddíl,Řádné,1990
2020,7,E4FE5CBDBD0F9242F3B396CB7295351B,724.06.052-1,Světlušky,Oddíl,Řádné,2016
2020,11,D4D2074659AC7FFE7D24BBA6374C3031,724.06.052-5,Medvědice,Oddíl,Řádné,2018
2020,11,A7BFA17BA13EFB4DCF6ECE11A014D7E0,724.06.051-4,Ontario,Oddíl,Řádné,2015
2020,13,B4F489DD489F485D05B1A4A76B5FF0BF,724.06.052-7,Antares,Oddíl,Řádné,2018
2020,7,8F5600B5D2CB5EC762B0A43BF9CAD79E,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2017
2020,11,30D1E2E23483A4B6B56122280A068A1A,724.06.051-4,Ontario,Oddíl,Řádné,2013
2020,10,8E5A5E1F0A3353799CC30AC1DF948B43,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,19,7936BF7E2509ECB068EA9F91F27A9A15,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2009
2020,18,09499EFB1F7C52F0A674ABDF82F7F71A,724.06.052-1,Světlušky,Oddíl,Řádné,2007
2020,7,E071F9E6C620505C085F5A27870DDEB3,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,6,88BCE2021FEA50113061AF96FEEEDB18,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,9,8E9E150CD79663A9B228F1296D4B26A1,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2016
2020,34,E6F1BBA3B60C8C754750CAC23743066D,724.06.051-2,Slůňata,Oddíl,Řádné,2000
2020,6,BB2E7CF3F965D36119E01A6E0628ADFB,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2017
2020,14,C85BC2134634FC0DF1AEAE4799EAC579,724.06.051-4,Ontario,Oddíl,Řádné,2013
2020,22,B2EEC20C8634698C146740C706DD2B08,724.06.052-5,Medvědice,Oddíl,Řádné,2004
2020,28,EA2FFD50E48CDC1016721776FDE1EC65,724.06.052-8,60. Klub kmene dospělých skautů,Oddíl,Řádné,2000
2020,17,E1DB50FA8131583EF4A127195CB87669,724.06.052-5,Medvědice,Oddíl,Řádné,2006
2020,18,0C293C32E86C81AF49AD85729DD7636E,724.06.052-5,Medvědice,Oddíl,Řádné,2006
2020,16,5B5C25D7E3414C8573C2C3A12BA0D1FC,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2009
2020,12,810434B9CAD8F283BBEAEFF345849B1B,724.06.052-5,Medvědice,Oddíl,Řádné,2012
2020,7,24F23259421472F910473F2452D1734F,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2017
2020,10,E91547293E29ABFDC07AC41F1E823010,724.06.051-4,Ontario,Oddíl,Řádné,2012
2020,7,6D640ECA6762C9475D74CCD5A3BE9B4C,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2019
2020,19,3E462EA9F419A51F1CC7D98AED5500DA,724.06.051-4,Ontario,Oddíl,Řádné,2009
2020,15,FE3F01B2DD90CAB26DE3E46EC3E6C84A,724.06.051-4,Ontario,Oddíl,Řádné,2010
2020,7,1EC94D496C2E4AC9D218DC9B8E379D06,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,7,A4BBDF8241439D26584A1A8FC03BE25C,724.06.052-1,Světlušky,Oddíl,Řádné,0
2020,52,EAE5C059BC158537BD9D7640080B4F50,724.06,6. středisko Zlín,Středisko,Řádné,1990
2020,18,6F32CA1DE06D03C6B70CCFEC24EA3CCA,724.06.052-5,Medvědice,Oddíl,Řádné,2009
2020,15,2EAE4314A410828AE5698EA2FEBD55D0,724.06.051-6,Albion,Oddíl,Řádné,2011
2020,9,0571EE0C54D71ED6E168FA454AC7F29D,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,22,BC87ABE5F9F8441761A262A95FE2E767,724.06.052-7,Antares,Oddíl,Řádné,2004
2020,9,5C6E08158725393C3E310AEC2AC4979D,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2014
2020,5,1D736478286E3DB77FD3E82E297841D6,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2019
2020,8,0D19DB924B1ACEF67240C7A2924A850F,724.06.052-1,Světlušky,Oddíl,Řádné,2015
2020,9,2A4680E1C186F123E9275F039454464B,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,13,4EF6515410D8F1F856E65BA68D5270AB,724.06.052-7,Antares,Oddíl,Řádné,2014
2020,18,3F0C40E107C2BF2E0CF3BFCFE4F4AC40,724.06.051-6,Albion,Oddíl,Řádné,2007
2020,16,D6FF010C8155DC58B953A6029E556BA3,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,13,89A3A66A033CAEF293A6C3DFC985CBC3,724.06.052-7,Antares,Oddíl,Řádné,2010
2020,8,CF94375CFFD117B65E8ABBDB598532EA,724.06.052-1,Světlušky,Oddíl,Řádné,2016
2020,11,D43049C0F3A19C1DB8AF5BD86B67908B,724.06.052-5,Medvědice,Oddíl,Řádné,2014
2020,16,B31CD40CAF5B86CD54F23B1F6CE5A74C,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,45,DCC9052A69AD24DF969AF2705589AC0C,724.06,6. středisko Zlín,Středisko,Řádné,1990
2020,10,9F7FC76FD3CA79F79BD008EA5F433ECF,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2015
2020,19,DC0F23D50E5DEA83D79CAF4F1929FD19,724.06.051-6,Albion,Oddíl,Řádné,2007
2020,37,8BBD46B0116788716DAA406F0AEBBF08,724.06,6. středisko Zlín,Středisko,Řádné,1992
2020,7,D613A0AB543AEA7949D1B18B1E743C4B,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,17,8022140121C36C99D3442871E77AAACF,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,11,8A5C5184CFB4D068DD88F4E47E9BB3EC,724.06.052-7,Antares,Oddíl,Řádné,2015
2020,11,C426B5263513AC85EDB5CB54E3586175,724.06.052-7,Antares,Oddíl,Řádné,2012
2020,15,9F40D14B114479D5A323BC4FFB12E5E6,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,20,DF504414A3BF411D2E0ADDA3A3B8A110,724.06.051-6,Albion,Oddíl,Řádné,2011
2020,12,3FAA43F3BAC68119F25DCB7AB8F5F5F4,724.06.052-5,Medvědice,Oddíl,Řádné,2014
2020,48,F2EFEF25F30945E5DDAB6069AC9866D8,724.06,6. středisko Zlín,Středisko,Řádné,2014
2020,16,D496BA13D2F249DB7C6F48A03C6CFEFB,724.06.052-1,Světlušky,Oddíl,Řádné,2010
2020,18,F0CD17C536B35D32219430496DD88F06,724.06.052-5,Medvědice,Oddíl,Řádné,2006
2020,16,B0AE41CBAB9F79BBA717BB389FE7D589,724.06.052-7,Antares,Oddíl,Řádné,2008
2020,13,7CDEA276DCD31A237B4B84E3B8E6FC7F,724.06.052-5,Medvědice,Oddíl,Řádné,2017
2020,4,D62F8C9F8FD9C44C3A5103F8E946CCF2,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2019
2020,18,AC9ADD9A04E28BE9CD5F593867D23379,724.06.051-6,Albion,Oddíl,Řádné,2008
2020,13,C68BA0D63643C9E860E4638526CF6488,724.06.051-4,Ontario,Oddíl,Řádné,2019
2020,16,973912251167FAAE941767B03FF413AC,724.06.051-4,Ontario,Oddíl,Řádné,2008
2020,19,A5F4822BC647B71C79F1DB9C26297512,724.06.052-1,Světlušky,Oddíl,Řádné,2007
2020,6,948B7E8AF03B495B8A4E191CD20EE29D,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2018
2020,21,0D962609FAD70C49D5CC868B2AC53A5C,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2008
2020,5,E9960842E7B9D989D0814306363F6EFF,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2019
2020,9,1E9170C00560D6804A303E193372DEE5,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2018
2020,13,C3B5B9028C4178A76A61746D596AE654,724.06.052-5,Medvědice,Oddíl,Řádné,2016
2020,6,66666950B8419BE0A69E176A68EAD20C,724.06.052-1,Světlušky,Oddíl,Řádné,0
2020,11,7A704A06A1C3F4064F0E0EDA53656FB3,724.06.052-5,Medvědice,Oddíl,Řádné,2014
2020,14,2F3A2A6AA59D0BD56A330E5CA6EA88E2,724.06.051-6,Albion,Oddíl,Řádné,2015
2020,14,2845B5162BF299476600DBA8BE6A95DD,724.06.051-6,Albion,Oddíl,Řádné,2010
2020,13,266AC8246C1DFED89AFC96B476AC9876,724.06.052-5,Medvědice,Oddíl,Řádné,2013
2020,10,541634020358ABBB7CF26E6CBC9F9F4D,724.06.052-1,Světlušky,Oddíl,Řádné,0
2020,18,18F8BE240F5C490CBD4506AE0B8022BD,724.06.051-6,Albion,Oddíl,Řádné,2008
2020,6,74957802129863021E596801150265FF,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2019
2020,13,9E8C25EB662ED1BCB50746386D705BA5,724.06.052-5,Medvědice,Oddíl,Řádné,2015
2020,7,9AA6B909F7B9F292C4E63C2654995728,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2016
2020,36,C9CA1545FBA1918CC36009B28EFB9D3B,724.06.051-2,Slůňata,Oddíl,Řádné,1990
2020,9,D28093A2AD241277ABC58FFB560AA937,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,6,63ED33A6C58058201564C3009141C23D,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2017
2020,17,B6CB478977A4FEDF45CA95C032EB79C9,724.06.052-1,Světlušky,Oddíl,Řádné,2009
2020,35,C0289D2B2B0D4CC655F75BA9B7AAB681,724.06.051-2,Slůňata,Oddíl,Řádné,1990
2020,14,0C38EA675090E969B991DF11A9159057,724.06.051-4,Ontario,Oddíl,Řádné,2011
2020,12,DE4097A719AAB1BE062C20A1DABB6BF2,724.06.051-4,Ontario,Oddíl,Řádné,2011
2020,9,AF7F786428DEC65C3DBD3812B0356A03,724.06.052-1,Světlušky,Oddíl,Řádné,2019
2020,14,F4767E2B7D7552F8D8CB539EA437E1C8,724.06.051-6,Albion,Oddíl,Řádné,2011
2020,20,5F5860AF014CF1A1A863B3100770FD81,724.06.052-7,Antares,Oddíl,Řádné,2014
2020,16,7C3A7E18B3D01DB9D2BD39D2327D68B3,724.06.052-5,Medvědice,Oddíl,Řádné,2011
2020,9,BEBF7729387EA30E8F67AA53BB1225D6,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,14,BCA9F3CCDD74DA1D2780958B9A68F44D,724.06.051-4,Ontario,Oddíl,Řádné,2013
2020,6,6D2FA021A12C642737F85ABCCDE5BF4C,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2018
2020,7,E31728CC57F21DDC837E1BD8468EC37A,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,4,A295AF6BA3D2DB627EA01CC4A36E0E45,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2019
2020,35,B06F6064C1933D332B1E0EC0AA98A3E8,724.06.051-2,Slůňata,Oddíl,Řádné,2003
2020,17,07F6D33DCA1CF6065F438ACBD8A70406,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2009
2020,9,C7414D809760E7C4506F09A5DB58229B,724.06.052-1,Světlušky,Oddíl,Řádné,0
2020,6,A125124E9088C85985E61E05BA3B1761,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2019
2020,48,9AC8D4A8857714B5DABC02855E1EC538,724.06,6. středisko Zlín,Středisko,Řádné,2000
2020,12,A3730BA5A93E05C22BA606FEED18202B,724.06.051-4,Ontario,Oddíl,Řádné,2012
2020,16,ADDCDBD14E419533E4B262167F8EDE66,724.06.052-7,Antares,Oddíl,Řádné,2008
2020,7,A7AC03D8DC951102C05F44E5620BE9EA,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2017
2020,14,D3D7BB724E6EB1B8328103FA16EC96C9,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,16,25A0C61623773383E75A58E5709CD02F,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,26,35DBCE4DBB0661190F689D10BAB541C5,724.06.051-4,Ontario,Oddíl,Řádné,2004
2020,16,A6B5017ADA005FDA256C34DEFB1AC207,724.06.051-4,Ontario,Oddíl,Řádné,2008
2020,14,46CCE657C60707ACFEDEA09497B1CC16,724.06.051-4,Ontario,Oddíl,Řádné,2015
2020,17,C7EA59025D5E64E69C63C320F2E06540,724.06.051-6,Albion,Oddíl,Řádné,2010
2020,11,BD2FC553CE19D75699CFF8A4C6E425F7,724.06.051-4,Ontario,Oddíl,Řádné,2013
2020,7,144CB11F5CFDFA7B1256AEDBF28E2A58,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,9,88E58A00A7E36A1AB337E11B4FE93DE9,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,7,1CF07E1AD3E3F7510B6727E53FC2BC2C,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2017
2020,5,42F87FB1B1B55C8424DBD766CA611B6F,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2018
2020,36,E28E702F8E10060FA92E40BB69177072,724.06.051-2,Slůňata,Oddíl,Řádné,2018
2020,9,E1D0E0E7A26875633F4AC0CA67B4D8E0,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2014
2020,7,4B54CB1F2AA845412AE921379BDA0E9E,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2017
2020,6,B4514C416C30BFA3EFD05F0BE8535576,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2017
2020,7,702E5D4DDE13BDD4A1D037429B172F8B,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,37,BE2EEFCFCBB5395CB2E6529D68677567,724.06.052-8,60. Klub kmene dospělých skautů,Oddíl,Řádné,1995
2020,6,5C658219E31A3500E7BA9C20A1652625,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2017
2020,12,38241DFCB520A0C416E75A121EB4A5EF,724.06.052-7,Antares,Oddíl,Řádné,2014
2020,15,636EEB2CEF3963F2C00E3CF57442938F,724.06.051-6,Albion,Oddíl,Řádné,2011
2020,8,7F856CD34DC03289E7A762ADFD324F54,724.06.052-1,Světlušky,Oddíl,Řádné,2016
2020,12,02E8DC510FCB126B2E7987BB7C4871E5,724.06.052-5,Medvědice,Oddíl,Řádné,2011
2020,6,443958D0511EB48BF069EFC5C4ECFA01,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2018
2020,14,DDEEB432A7ABC5F5B704E7642CDD3D4F,724.06.051-6,Albion,Oddíl,Řádné,2010
2020,19,EBB445CF030D66FFD7066F0DCEE48F3D,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,18,A85318F45B4D984D38FAA11DE09E5852,724.06.051-4,Ontario,Oddíl,Řádné,2007
2020,10,47AF9EAE7271765B0D8E751D975991DB,724.06.052-1,Světlušky,Oddíl,Řádné,2018
2020,16,2EFD6A7F8E947C225E021B9525050677,724.06.052-1,Světlušky,Oddíl,Řádné,2008
2020,13,9F9AD78576E6DBB4894DB09588C669C5,724.06.051-4,Ontario,Oddíl,Řádné,2010
2020,10,F5B0C86C4D3035C5700EB830AADB053C,724.06.052-5,Medvědice,Oddíl,Řádné,2013
2020,46,7D51D351C22896CF8E3D4FDBC5140CD8,724.06,6. středisko Zlín,Středisko,Řádné,2000
2020,10,FE33B590525396C10523734780EA3631,724.06.052-7,Antares,Oddíl,Řádné,2014
2020,7,A5AC2CD1790CB134EE6E4857561A5FD3,724.06.052-1,Světlušky,Oddíl,Řádné,2016
2020,15,8849215DA1DF5057BF9C5AEA5B351BED,724.06.052-1,Světlušky,Oddíl,Řádné,2008
2020,10,182C67CE15BCE5CF437D929ADD2A702A,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,16,062EA598376112699749A03A6CB564F9,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2008
2020,7,D964E7803675C4ACCB8210E4F1F02E90,724.06.052-1,Světlušky,Oddíl,Řádné,2018
2020,10,C33F38A65E2BC69E3E76079BE12571DB,724.06.052-1,Světlušky,Oddíl,Řádné,2019
2020,17,8F0E02EDC86E965EAF2505CEFBB6D9EF,724.06.052-5,Medvědice,Oddíl,Řádné,2015
2020,8,0AE2006A40942D99A477098C4F3FC347,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,6,82E9A08EBDCA542200884DA6AD8F8158,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2019
2020,19,9B9705F54DE1AA138EB30654484D3985,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,12,4E91F4AD0D7626E2CB68C060B429234A,724.06.052-5,Medvědice,Oddíl,Řádné,2015
2020,19,7A309714DD4083CBCCFB19CDEED4C756,724.06.052-5,Medvědice,Oddíl,Řádné,2016
2020,9,C93B4D60822AE204302A25BB4368AE6E,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2018
2020,15,0B93B0E2DE19A3E45FBCF3CFF0A1B57E,724.06.051-6,Albion,Oddíl,Řádné,2017
2020,12,EBA04E019464D660E17D2C579F2DD9C4,724.06.052-5,Medvědice,Oddíl,Řádné,2019
2020,12,312CFEBD7D633E7C6291953CC1B16417,724.06.052-5,Medvědice,Oddíl,Řádné,2019
2020,11,93EF86EE9235E32AE8C4A4C19C267BE6,724.06.052-5,Medvědice,Oddíl,Řádné,2013
2020,8,926EBF525EE322AD64A9CEDD586661E9,724.06.052-1,Světlušky,Oddíl,Řádné,2018
2020,18,90CAB7C98A2C1685A27D0CC8FB0347D7,724.06.052-5,Medvědice,Oddíl,Řádné,2014
2020,13,E148C94D8E2FF3BE96B7C2E9A0D23EBB,724.06.052-5,Medvědice,Oddíl,Řádné,2010
2020,9,5141D09AB2620C764DC2438CFC89072A,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2015
2020,16,21F520F4AE49440C8E2C50E48048C228,724.06.052-1,Světlušky,Oddíl,Řádné,2013
2020,8,83EBAE5ED976065AC710DEFDB3E3B2DA,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2017
2020,17,D1E70C261563310CBC3EE27BF1BB4CE0,724.06.052-1,Světlušky,Oddíl,Řádné,2007
2020,13,465577C1600236B421F83243CBD0CF38,724.06.052-5,Medvědice,Oddíl,Řádné,2018
2020,31,0B3023022E3B7FCE69401B51975CA74A,724.06.052-8,60. Klub kmene dospělých skautů,Oddíl,Řádné,2000
2020,11,CBC85E7CB876D3599942F5476B353B1E,724.06.051-4,Ontario,Oddíl,Řádné,2015
2020,12,7AA5D156BCD13AC1BDC173D99F76E2F3,724.06.052-5,Medvědice,Oddíl,Řádné,2010
2020,44,FCC221D27B0CB412B82CEAC9DD4688D0,724.06,6. středisko Zlín,Středisko,Řádné,2000
2020,12,72C4713E14AAA75159843D88D45B9CDA,724.06.052-5,Medvědice,Oddíl,Řádné,2014
2020,11,FDC96E259B86B5D590AC8EDDD800755F,724.06.052-5,Medvědice,Oddíl,Řádné,2017
2020,14,2B81E47B80FF693617FDDA625F614560,724.06.052-5,Medvědice,Oddíl,Řádné,2014
2020,17,9B7C40D86DF84A1C71AF9007D82328F6,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,14,99DDFBAF811F4EB2BAB4DB8289F8BA22,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,10,6E0B8FE2261109AEB500613244B197AF,724.06.052-1,Světlušky,Oddíl,Řádné,2015
2020,6,D2D9DDDBF07BFAE9A66FB83E099A7632,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2019
2020,20,09D4AAEA69B9A421F7A140A0B9136E3E,724.06.052-1,Světlušky,Oddíl,Řádné,2008
2020,23,E1E97902EDFC14287FA876D8A8900B2C,724.06.051-4,Ontario,Oddíl,Řádné,2008
2020,21,E9F1CC36B9D7226BDD7E120958118B70,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,7,8A44060A5D786DF3D7DD0A50A818EAC3,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2018
2020,13,3EEA1BDBB9C968F40117D108AAD70FAA,724.06.052-5,Medvědice,Oddíl,Řádné,2013
2020,14,78C3BAE703576B2E739BB0FFD67A3C83,724.06.051-4,Ontario,Oddíl,Řádné,2013
2020,11,6A704BB3C3644A9A2EE6660C31C9885A,724.06.052-5,Medvědice,Oddíl,Řádné,2013
2020,28,76ED90244F89B6877B6D0BD67E558767,724.06.052-8,60. Klub kmene dospělých skautů,Oddíl,Řádné,1999
2020,16,DD507395B9296C0F5A9413A9FA6A7094,724.06.051-6,Albion,Oddíl,Řádné,2018
2020,21,696112740977532B1598B15D9CD7A67F,724.06.052-7,Antares,Oddíl,Řádné,2011
2020,11,C8C59674C6E38D8EDE24933747F98701,724.06.052-7,Antares,Oddíl,Řádné,2012
2020,7,EC8C1F093DCB986A131DEF2BA8E923A0,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,18,DE878C8FF351F231C3C91D727DD6099F,724.06.052-5,Medvědice,Oddíl,Řádné,2007
2020,23,1572B198C1FF9F39BB69278801F1CE3B,724.06.051-6,Albion,Oddíl,Řádné,2002
2020,10,3CD0F70BEEA1390B015C87BCD851A86C,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2019
2020,16,962DF81D765BA23DA6965E5EE034AA81,724.06.052-5,Medvědice,Oddíl,Řádné,2013
2020,11,BFAB59DB50BAE43FF57EEA3D805EB9F3,724.06.052-7,Antares,Oddíl,Řádné,2015
2020,8,05DD8B8C6E82C753678DD2F732F8F673,724.06.052-1,Světlušky,Oddíl,Řádné,2016
2020,6,52E3130539B4B70ECEB0036FEB33E5F5,724.06.051-2.2,Úterý-Plaváčci,Družina,Řádné,2018
2020,23,BFB32041FCCBE89A5E64DBEF4FB4A686,724.06.051-4,Ontario,Oddíl,Řádné,2014
2020,11,61815E3BB471580070427818D6A1D46E,724.06.052-5,Medvědice,Oddíl,Řádné,2019
2020,17,3D020113BDA29B3EDD241B84CDDEBAA8,724.06.051-4,Ontario,Oddíl,Řádné,2010
2020,9,04FF1C533EA7FB90850620C290B4C856,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2014
2020,8,0FB72A9AFAA45808AEB3FE8E6BD641A1,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2015
2020,40,AF3DDF2B1976B670B8FA9AF84793663A,724.06.051-2,Slůňata,Oddíl,Řádné,2017
2020,40,D077AA067A1138DB510C6AB5CA4495EF,724.06.051-2,Slůňata,Oddíl,Řádné,2015
2020,10,A252F0E86E3DEB7832CC4056089A8B7A,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2014
2020,11,A6C277372373F73A8E49949337E8C0CC,724.06.051-4,Ontario,Oddíl,Řádné,2012
